parameter_id,description,base_value,unit,owsa_low,owsa_high,psa_distribution,psa_parameters,references,assumption
entry_age_years,Age at model entry,1.0,year,,,fixed,"","",The analysis cohort enters on the first birthday.
exit_age_years,Exclusive exit age: follow-up stops immediately before the 12th birthday,12.0,year,,,fixed,"",ref_6,WFH child definition is age below 12 years; age 12 is not simulated as a completed year.
cycles_per_year,Weekly cycles per model year,52.0,cycle/year,,,fixed,"",ref_17,
days_per_cycle,Days represented by one weekly cycle,7.0,model-day/cycle,,,fixed,"","",One model year is defined as 52 seven-day cycles (364 model-days).
default_patients,Starting population for production convergence runs,100000.0,patient,10000.0,200000.0,fixed,"","",Final N is selected by the pre-specified <1% Monte Carlo convergence rule.
convergence_threshold,Maximum relative change allowed between successive population sizes,0.01,proportion,,,fixed,"","",Pre-specified Monte Carlo convergence criterion.
psa_iterations,Second-order PSA iterations,10000.0,iteration,,,fixed,"",ref_49,
seed,Master reproducibility seed,20260813.0,integer,,,fixed,"","",Project seed; recorded with every run manifest.
utility_integration_step_days,Numerical grid for within-cycle utility integration,1.0,day,0.25,1.0,fixed,"","",Daily grid with fractional edge weighting on a 364 model-day year; 0.25 day is retained for a numerical-precision check.
abr_prophylaxis,Annual bleeding rate under prophylaxis,3.05,event/patient-year,2.1,4.0,uniform,low=2.1; high=4,ref_44,
abr_on_demand,Annual bleeding rate under on-demand treatment,13.8,event/patient-year,12.0,15.6,uniform,low=12; high=15.6,ref_44,
ajbr_prophylaxis,Direct annualized joint bleeding rate under prophylaxis,1.05,event/patient-year,1.0,1.1,uniform,low=1; high=1.1,ref_44,
ajbr_on_demand,Direct annualized joint bleeding rate under on-demand treatment,9.85,event/patient-year,5.5,14.2,uniform,low=5.5; high=14.2,ref_44,
joint_bleed_fraction,Joint bleeds as a fraction of all bleeds,0.76,proportion,0.7,0.82,beta,alpha=153.3; beta=48.4,ref_45,SD=0.03 is a model assumption because direct uncertainty was unavailable.
ich_rate_prophylaxis,Direct annual ICH rate under prophylaxis,0.00033,event/patient-year,0.000165,0.000495,gamma,shape=4; scale=8.25e-05,ref_46,PSA SD is 50% of the mean.
ich_rate_on_demand,Direct annual ICH rate under on-demand treatment,0.017,event/patient-year,0.0085,0.0255,gamma,shape=4; scale=0.00425,ref_46,PSA SD is 50% of the mean.
ich_fraction,CNS/ICH fraction of all bleeds for structural scenario,0.00133,proportion,0.00033,0.00233,beta,alpha=7.07; beta=5306.36,ref_45,CNS bleeds are used as an ICH proxy; SD=0.0005 is a model assumption.
non_ich_major_fraction,GI plus neck/throat bleeds as a fraction of all bleeds,0.00468,proportion,0.00268,0.00668,beta,alpha=21.8; beta=4636.24,ref_45,SD=0.001 is a model assumption.
ich_case_fatality,Case fatality conditional on ICH,0.0833333333,proportion,0.01,0.2,beta,alpha=2; beta=22,ref_46,
post_ich_sequela_probability,Persistent neurologic sequela among post-neonatal ICH survivors,0.2571428571,proportion,0.15,0.4,beta,alpha=18; beta=52,ref_43,
joint_bleeds_per_pettersson_point,Cumulative joint bleeds per one Pettersson point,13.0,joint bleed/score point,11.1,14.7,triangular,low=11.1; mode=12.6; high=14.7,"ref_31, ref_40",
pettersson_max,Maximum Pettersson score,78.0,score,,,fixed,"",ref_29,
background_mortality_age_1_4,Annual background mortality hazard from age 1 to less than 5,0.00043646,hazard/year,,,fixed,"",ref_48,
